dup_group,group_size,row_index,Catalog,FIRST_ID,RA,Dec,z,Flux_FIRST_1400MHz,Host_name
440,2,3619,Sasmal,J122013.1+475946,185.0547917,47.99633333,0.3,56.0,
441,2,3634,Lao,J122149.4+321742,185.45688,32.29708,0.17233,49.85,WISEA J122149.65+321749.4
441,2,6810,Mirabest,,185.45688,32.29705,0.1723,,
442,2,3669,Lao,J122526.1+373734,186.35209,37.6219,0.18532,254.65,WISEA J122524.50+373718.8
442,2,6807,Mirabest,,186.352095,37.62189,0.1853,,
443,2,3681,Lao,J122731.1+492847,186.88453,49.47891,0.11938,122.52,WISEA J122732.28+492844.0
443,2,3682,Sasmal,J122732.2+492844,186.8845417,49.47888889,0.12,124.0,
444,2,3684,Lao,J122752.9+632300,186.9634,63.38481,0.14551,236.09,CGPG 1225.6+6338 NED01
444,2,6468,Mirabest,,186.96351,63.38481,0.1455,,
445,2,3691,Lao,J122944.8+261056,187.43758,26.17914,0.3856,86.26,WISEA J122945.01+261044.9
445,2,6985,Mirabest,,187.437615,26.17918,0.3856,,
446,2,3693,Lao,J122951.1+114024,187.46803,11.67743,0.08279,1581.17,WISEA J122952.32+114038.7
446,2,6681,Mirabest,,187.46805,11.67745,0.0828,,
447,2,3707,Lao,J123145.8+385021,187.94162,38.84196,0.18279,67.1,DESI J123145.99+385031.1
447,2,3708,Sasmal,J123145.9+385030,187.9415833,38.84191667,,67.0,
448,2,3712,Lao,J123211.5+313103,188.04763,31.51613,0.35222,80.39,WISEA J123211.43+313058.0
448,2,3711,Sasmal,J123211.4+313058,188.0476667,31.51613889,0.35,80.0,
449,3,3717,Lao,J123317.1+192846,188.31964,19.48051,0.22812,106.09,WISEA J123316.71+192849.8
449,3,6968,Mirabest,,188.31969,19.48066,0.2282,,
449,3,3716,Sasmal,J123316.7+192850,188.3196667,19.48066667,0.23,106.0,
450,2,3718,Lao,J123324.4+355918,188.35205,35.98852,,17.96,
450,2,3719,Sasmal,J123324.5+355915,188.352125,35.98763889,,16.0,
451,2,3729,Lao,J123456.8+401252,188.73552,40.21512,0.4883,46.23,SDSS J123456.52+401254.4
451,2,3728,Sasmal,J123456.5+401254,188.7355,40.21511111,0.49,46.0,
452,2,3731,Lao,J123507.2+562508,188.77953,56.41823,0.46336,114.96,DESI J123507.09+562505.6
452,2,3730,Sasmal,J123507.0+562505,188.7795417,56.41822222,0.39,116.0,
453,2,3751,Lao,J123720.3+201355,189.33474,20.23162,0.8186,20.29,DESI J123720.34+201353.8
453,2,3750,Sasmal,J123720.3+201352,189.3347083,20.23127778,,19.0,
