RA,Dec,z,"L_rad,t",Size_rad,M_{BH},g-r,FRI,FRII,WAT,NAT,source_name,f_name,Host_name,f_z,Type,S1400MHz,S3000MHz,alpha,OA,Rc,LAS,Mr,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
118.44817,23.03195,0.50159,25.83,322.0,9.39,1.94,True,False,True,False,J075347.28+230206.0,,WISEA J075347.56+230155.0,s,"FR-I,WAT",61.03,24.73,1.19,108.7,24.8,51,-23.44,WHL J075347.6+230155,0.5016,s,1957.0,0.0,0.0,0.952,88.15,3.86,44.0
118.47937,21.09284,0.89848,25.67,385.0,,0.26,False,False,True,False,J075354.73+210535.4,,DESI J075355.05+210534.2,p,"--,WAT",15.12,10.16,0.52,164.6,161.1,48,,WH J075348.7+210524,0.6758,p,2512.0,89.0,647.0,0.464,17.68,0.81,10.0
118.67772,39.86077,0.28909,24.94,166.0,,1.63,True,False,True,False,J075442.72+395137.6,f,WISEA J075442.65+395138.7,s,"FR-I,WAT",35.94,27.22,0.36,105.3,13.5,37,,Y21 J075442.7+395139,0.2891,s,1195.0,0.0,0.0,0.617,22.42,1.02,15.0
118.77781,26.35444,0.1228,24.34,80.0,,1.12,True,False,True,False,J075506.22+262105.6,g,WISEA J075506.67+262115.9,s,"FR-I,WAT",46.7,11.81,1.8,164.0,50.2,35,,AMF J075505.5+262236,0.5974,p,2270.0,82.0,565.0,0.496,15.63,0.72,8.0
118.79703,19.1603,0.31434,24.98,138.0,,1.64,True,False,True,False,J075511.71+190946.5,f,2MASS J07551128+1909370,s,"FR-I,WAT",28.58,14.95,0.85,104.1,20.2,29,,WHL J075511.3+190937,0.3143,s,1290.0,0.0,0.0,0.744,38.78,1.74,22.0
118.82232,17.24866,0.76969,25.87,175.0,,1.49,True,False,False,True,J075517.08+171457.9,c,DESI J075517.36+171455.2,p,"FR-I,NAT",34.19,23.34,0.5,50.7,4.3,23,,CLuMPR J075522.0+171708,0.7892,p,2843.0,148.0,1140.0,0.506,22.18,1.01,12.0
118.85331,61.99398,0.27766,24.92,87.0,,,True,False,True,False,J075524.34+615941.0,,DESI J075524.79+615938.3,p,"FR-I,WAT",28.0,8.75,1.53,113.0,8.4,20,,WHY18 J075524.8+615938,0.3022,p,1245.0,0.0,0.0,0.589,18.68,0.86,12.0
118.97658,48.19202,0.39608,25.69,265.0,,0.7,False,True,True,False,J075553.87+481127.0,,DESI J075554.38+481131.3,p,"FR-II,WAT",84.8,41.59,0.93,169.0,42.0,48,,,,,,,,,,,
119.06438,25.23177,0.21402,25.42,194.0,,1.32,False,True,True,False,J075615.49+251342.2,c,DESI J075615.45+251354.4,p,"FR-II,WAT",185.39,90.21,0.95,128.9,54.8,54,,maxBCG J075614.8+251341,0.2021,s,855.0,16.0,55.0,0.745,31.27,1.41,15.0
119.0982,15.22326,0.29783,25.28,211.0,,1.53,True,False,True,False,J075623.12+151319.0,,DESI J075623.57+151323.7,p,"FR-I,WAT",54.13,16.0,1.6,101.8,25.6,46,,WH J075623.6+151324,0.3181,p,1305.0,0.0,0.0,0.481,13.21,0.61,8.0
119.11212,32.5423,0.20403,24.84,246.0,,1.38,False,True,True,False,J075626.63+323241.2,,SDSS J075626.91+323232.3,s,"FR-II,WAT",51.29,20.36,1.21,153.2,101.2,71,,maxBCG J075626.9+323232,0.2041,s,863.0,0.0,0.0,0.713,29.55,1.34,16.0
119.11588,14.00735,0.63313,25.49,247.0,,1.93,False,True,True,False,J075627.78+140025.1,,DESI J075627.81+140026.5,p,"FR-II,WAT",22.4,16.02,0.44,160.0,348.4,35,,WH J075631.4+140146,0.9444,p,3261.0,96.0,780.0,0.371,11.2,0.52,6.0
119.17296,60.50404,0.26613,25.16,300.0,,,False,False,False,True,J075640.56+603024.6,j,DESI J075641.51+603014.6,p,"--,NAT",55.1,18.16,1.46,29.8,10.3,71,,,,,,,,,,,
119.17928,60.51178,,,,,,False,True,True,False,J075643.03+603042.4,f,,,"FR-II,WAT",54.89,16.23,1.6,90.5,6.6,23,,,,,,,,,,,
119.24297,48.40082,0.5711,25.48,148.0,,1.98,False,True,True,False,J075658.49+482407.8,,SDSS J075658.31+482402.9,s,"FR-II,WAT",24.13,13.89,0.72,113.7,14.2,22,,CFSFDP J075658.3+482403,0.5711,s,2186.0,0.0,0.0,0.558,24.0,1.09,11.0
119.27376,28.90571,0.41594,25.16,244.0,8.96,1.87,False,True,True,False,J075704.68+285419.5,,WISEA J075705.70+285420.5,s,"FR-II,WAT",24.75,15.56,0.61,123.5,129.5,43,-23.05,WH J075705.7+285421,0.4159,s,1661.0,0.0,0.0,0.594,24.88,1.13,12.0
119.27936,35.97969,0.13295,24.93,203.0,8.75,1.14,False,True,False,True,J075706.49+355853.3,,WISEA J075707.04+355846.8,s,"FR-II,NAT",175.66,106.37,0.66,24.1,7.7,83,-23.26,WHL J075707.1+355847,0.1586,p,678.0,0.0,0.0,0.779,38.79,1.74,23.0
119.33525,24.21314,,,,,,False,False,True,False,J075720.46+241247.3,,,,"--,WAT",19.38,10.17,0.85,164.2,55.4,37,,,,,,,,,,,
119.35366,25.8938,,,,,,False,False,True,False,J075724.88+255337.7,,,,"--,WAT",16.57,8.26,0.91,149.8,21.3,27,,,,,,,,,,,
119.36092,20.48607,0.68117,25.62,481.0,,1.47,False,True,True,False,J075726.71+202908.9,,DESI J075726.62+202909.8,p,"FR-II,WAT",19.58,9.39,0.96,169.1,255.3,66,,,,,,,,,,,
119.36933,63.237,0.90187,25.68,393.0,,,False,True,True,False,J075729.43+631416.6,,DESI J075728.64+631413.2,p,"FR-II,WAT",8.92,3.24,1.33,160.7,52.1,49,,CFSFDP J075715.8+631502,0.9494,p,3274.0,100.0,814.0,0.621,32.79,1.48,10.0
119.40955,58.41041,0.19593,24.32,84.0,,,True,False,True,False,J075737.80+582442.3,f,DESI J075738.29+582437.5,p,"FR-I,WAT",18.63,11.05,0.69,141.0,20.6,25,,Y21 J075716.3+582518,0.2227,p,937.0,177.0,658.0,0.649,25.06,1.14,11.0
119.47907,40.89249,0.91211,26.21,418.0,,1.46,False,True,True,False,J075755.33+405335.8,,DESI J075754.98+405333.0,p,"FR-II,WAT",42.82,23.84,0.77,133.9,60.8,52,,maxBCG J075801.0+405411,0.2853,s,1180.0,78.0,347.0,0.745,35.43,1.6,22.0
