Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
337,,J1512+3654,15:12:18.26,+36:54:18.8,228.0760833333333,36.90522222222222,2MASX,0.29,d,52,220.0,-0.64,2.36,II,"1, 16, 20"
338,a,J1520+2329,15:20:01.08,+23:29:05.2,230.0045,23.48477777777778,SDSS,0.48,d,10,48.0,-0.7,1.3,II,"1, 20"
339,ac,J1521+3157,15:21:26.98,+31:57:33.3,230.36241666666663,31.95925,2MASX,0.31,d,82,,,,II,20
340,,J1521+5104,15:21:25.02,+51:04:03.1,230.35424999999995,51.06752777777778,EE,,,273,2201.0,-0.93,,I,1
341,,J1524+1321,15:24:43.44,+13:21:21.3,231.18099999999995,13.355916666666666,EE,,,6,,,,I,
342,,J1528+0714,15:28:18.54,+07:14:09.3,232.07725,7.235916666666666,SDSS,0.39,d,24,,,,I,"1, 20"
343,,J1529-0431,15:29:18.88,-04:31:38.3,232.32866666666663,-4.527305555555556,EE,,,33,,,,II,
344,,J1532+0028,15:32:52.09,+00:28:09.4,233.21704166666663,0.4692777777777778,SDSS,,,29,,,,I,
345,,J1532+4658,15:32:01.76,+46:58:52.8,233.0073333333333,46.98133333333333,SDSS,0.32,d,25,51.0,-0.32,2.8,II,1
346,,J1533+5700,15:33:46.37,+57:00:11.9,233.44320833333333,57.00330555555556,2MASX,0.22,d,110,449.0,-0.63,2.79,I,"1, 2, 6, 20"
347,,J1534+0556,15:34:39.48,+05:56:17.5,233.6645,5.938194444444445,SDSS,,,43,125.0,-0.48,,I,"14, 20"
348,,J1536-0201,15:36:44.82,-02:01:36.8,234.18675,-2.0268888888888887,EE,,,241,,,,,1
349,,J1537+4051,15:37:52.75,+40:51:30.6,234.46979166666665,40.8585,EE,,,15,84.0,-0.77,,,
350,,J1538+3557,15:38:56.78,+35:57:09.6,234.7365833333333,35.95266666666667,SDSS,,,168,,,,I,20
351,,J1539-0215,15:39:59.25,-02:15:10.2,234.996875,-2.252833333333333,SDSS,,,34,,,,I,
352,,J1539-0544,15:39:23.41,-05:44:42.9,234.84754166666664,-5.74525,EE,,,20,,,,I,1
